ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"SGCA"	"SGCA"	chr17	+	50169091	50169254	50169091	50169104	50170142	50170351
1	"SGCA"	"SGCA"	chr17	+	50175256	50175449	50175256	50175375	50175711	50175928
2	"CFAP69"	"CFAP69"	chr7	+	90261946	90262056	90261946	90262050	90265300	90265377
3	"CFAP69"	"CFAP69"	chr7	+	90268285	90268384	90268285	90268330	90271525	90271675
4	"MBD4"	"MBD4"	chr3	-	129436442	129437308	129436460	129437308	129434061	129434136
5	"MBD4"	"MBD4"	chr3	-	129437719	129437950	129437807	129437950	129434061	129434136
6	"CDHR1"	"CDHR1"	chr10	+	84212178	84212407	84212178	84212292	84213090	84213348
7	"CD84"	"CD84"	chr1	-	160553359	160553497	160553377	160553497	160552704	160552737
8	"RNF25"	"RNF25"	chr2	-	218668238	218668341	218668278	218668341	218668078	218668146
9	"SLC44A2"	"SLC44A2"	chr19	+	10625519	10625670	10625519	10625549	10626252	10626301
10	"SLC44A2"	"SLC44A2"	chr19	+	10634755	10635073	10634755	10634887	10635162	10635255
11	"SLC44A2"	"SLC44A2"	chr19	+	10634755	10635073	10634755	10634887	10636322	10636585
12	"NTMT1"	"NTMT1"	chr9	+	129632649	129632865	129632649	129632801	129634053	129634306
13	"PARL"	"PARL"	chr3	-	183862696	183862801	183862752	183862801	183844230	183844326
14	"DIS3L2"	"DIS3L2"	chr2	+	232130618	232130943	232130618	232130719	232163458	232163632
15	"RIOK3"	"RIOK3"	chr18	+	23473428	23473626	23473428	23473483	23474947	23475107
16	"UNC45B"	"UNC45B"	chr17	+	35170113	35170261	35170113	35170255	35171321	35171462
17	"ZNF101"	"ZNF101"	chr19	+	19677863	19677990	19677863	19677986	19678725	19678786
18	"FAM107A"	"FAM107A"	chr3	-	58626970	58627610	58627415	58627610	58589205	58589269
19	"WDR31"	"WDR31"	chr9	-	113321471	113321578	113321510	113321578	113320356	113320498
20	"WDR31"	"WDR31"	chr9	-	113331906	113332050	113331977	113332050	113328880	113328955
21	"WDR31"	"WDR31"	chr9	-	113331906	113332050	113331977	113332050	113330983	113331116
22	"SEPT12"	"SEPT12"	chr16	-	4783316	4783557	4783461	4783557	4779689	4779786
23	"SEPT12"	"SEPT12"	chr16	-	4787468	4787667	4787479	4787667	4785979	4786105
24	"NEURL4"	"NEURL4"	chr17	-	7322947	7323123	7322953	7323123	7322734	7322866
25	"NEURL4"	"NEURL4"	chr17	-	7324798	7324980	7324910	7324980	7324394	7324480
26	"HSD17B4"	"HSD17B4"	chr5	+	119477416	119477501	119477416	119477492	119478833	119479021
27	"EVC2"	"EVC2"	chr4	-	5640513	5640838	5640521	5640838	5631792	5632032
28	"NXPE4"	"NXPE4"	chr11	-	114582287	114583021	114582751	114583021	114581724	114581786
29	"POLR3H"	"POLR3H"	chr22	-	41532603	41532745	41532658	41532745	41532093	41532157
30	"SRRT"	"SRRT"	chr7	+	100885700	100885774	100885700	100885762	100885862	100885941
31	"PPM1M"	"PPM1M"	chr3	+	52248152	52248453	52248152	52248237	52248955	52249063
32	"EPB41L3"	"EPB41L3"	chr18	-	5406764	5406968	5406776	5406968	5400968	5401043
33	"CLPTM1"	"CLPTM1"	chr19	+	44954590	44955085	44954590	44954701	44961962	44962075
34	"E2F4"	"E2F4"	chr16	+	67192760	67192870	67192760	67192824	67193008	67193170
35	"EXO1"	"EXO1"	chr1	+	241853357	241853481	241853357	241853472	241857344	241857482
36	"ABCA2"	"ABCA2"	chr9	-	137010192	137010737	137010619	137010737	137009982	137010124
37	"PLAU"	"PLAU"	chr10	+	73911524	73911925	73911524	73911612	73912040	73912068
38	"PLAU"	"PLAU"	chr10	+	73911524	73911925	73911524	73911612	73912214	73912322
39	"CCDC114"	"CCDC114"	chr19	-	48297980	48298097	48297999	48298097	48297589	48297668
