ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ZNF684"	"ZNF684"	chr1	+	40544396	40545037	40544415	40545037	40541614	40541710	1	7,2,2	0,0,0	2,3,3	1,2,0	118	99	0.58129476119	1.0	1.0,1.0,1.0	0.627,0.557,1.0	0.272
2	"RNF25"	"RNF25"	chr2	-	218665915	218666084	218665915	218666059	218666158	218666230	2	0,1,0	35,36,37	0,0,1	55,50,39	124	99	1	1.0	0.0,0.022,0.0	0.0,0.0,0.02	0.001
6	"EXOC7"	"EXOC7"	chr17	-	76090328	76090481	76090328	76090397	76091142	76091235	6	6,4,1	10,6,8	4,3,0	5,16,5	183	99	0.297154954596	1.0	0.245,0.265,0.063	0.302,0.092,0.0	0.06
8	"ACTR8"	"ACTR8"	chr3	-	53873031	53873146	53873031	53873127	53874210	53874364	8	3,0,1	35,19,15	1,0,1	38,26,32	118	99	0.33148673457	1.0	0.067,0.0,0.053	0.022,0.0,0.026	0.024
9	"ACTR8"	"ACTR8"	chr3	-	53879938	53880109	53879938	53880072	53881978	53882202	9	41,28,29	0,1,1	55,25,47	1,3,1	136	99	1	1.0	1.0,0.953,0.955	0.976,0.858,0.972	0.034
12	"SLC44A2"	"SLC44A2"	chr19	+	10637643	10637747	10637649	10637747	10636661	10636756	12	1294,760,811	0,0,0	722,579,711	3,0,0	105	99	1	1.0	1.0,1.0,1.0	0.996,1.0,1.0	0.001
13	"GRIP1"	"GRIP1"	chr12	-	66455408	66455564	66455408	66455561	66456186	66456342	13	3,6,2	2,0,0	2,1,5	2,0,0	102	99	0.87158898922	1.0	0.593,1.0,1.0	0.493,1.0,1.0	0.033
14	"GRIP1"	"GRIP1"	chr12	-	66455408	66455564	66455408	66455561	66462923	66463093	14	2,0,1	0,0,0	0,1,0	0,1,0	102	99	1	1.0	1.0,NA,1.0	NA,0.493,NA	0.507
19	"MTG1"	"MTG1"	chr10	+	133401528	133402245	133402148	133402245	133399169	133399226	19	40,41,39	1,1,0	53,30,44	1,3,2	719	99	1	1.0	0.846,0.85,1.0	0.879,0.579,0.752	0.162
20	"APH1A"	"APH1A"	chr1	-	150267074	150267254	150267074	150267202	150267355	150267478	20	4,3,1	362,217,176	1,1,2	246,226,221	151	99	1	1.0	0.007,0.009,0.004	0.003,0.003,0.006	0.003
21	"CEP192"	"CEP192"	chr18	+	13057584	13059312	13059081	13059312	13055779	13056698	21	16,14,10	0,0,3	15,14,19	1,5,2	1596	99	0.0562918211651	0.577663543176	1.0,1.0,0.171	0.482,0.148,0.371	0.39
24	"CEP192"	"CEP192"	chr18	+	13116373	13116503	13116376	13116503	13114129	13114251	24	31,16,8	14,10,6	38,18,22	13,7,14	102	99	0.50937338941	1.0	0.682,0.608,0.564	0.739,0.714,0.604	-0.068
29	"RFXANK"	"RFXANK"	chr19	+	19196962	19197046	19196965	19197046	19193938	19194133	29	150,114,101	186,133,110	119,71,101	139,85,118	102	99	0.974302250486	1.0	0.439,0.454,0.471	0.454,0.448,0.454	0.003
30	"WDR31"	"WDR31"	chr9	-	113330983	113331116	113330983	113331113	113331906	113332050	30	4,1,1	0,0,0	0,0,1	1,0,0	102	99	1	1.0	1.0,1.0,1.0	0.0,NA,1.0	0.5
31	"PFAS"	"PFAS"	chr17	+	8253841	8254079	8253858	8254079	8249285	8249339	31	0,0,0	37,28,26	0,1,0	57,47,36	116	99	1	1.0	0.0,0.0,0.0	0.0,0.018,0.0	-0.006
32	"PFAS"	"PFAS"	chr17	+	8266500	8266898	8266752	8266898	8266233	8266353	32	9,6,3	14,7,16	14,8,3	27,22,21	351	99	0.554310491948	1.0	0.153,0.195,0.05	0.128,0.093,0.039	0.046
33	"NEURL4"	"NEURL4"	chr17	-	7317460	7317684	7317460	7317573	7317787	7317932	33	2,7,5	20,15,14	3,2,4	22,11,24	210	99	0.195182094998	1.0	0.045,0.18,0.144	0.06,0.079,0.073	0.052
34	"NEURL4"	"NEURL4"	chr17	-	7318268	7318674	7318268	7318356	7319049	7319208	34	23,18,18	1,3,1	36,15,28	0,2,0	417	99	0.0140590558759	0.266183429983	0.845,0.588,0.81	1.0,0.64,1.0	-0.132
36	"NEURL4"	"NEURL4"	chr17	-	7324107	7324270	7324107	7324266	7324394	7324480	36	15,12,14	0,2,1	18,13,17	0,0,3	103	99	0.456197842315	1.0	1.0,0.852,0.931	1.0,1.0,0.845	-0.021
37	"NEURL4"	"NEURL4"	chr17	-	7326710	7327009	7326710	7326910	7327164	7327230	37	33,21,21	0,1,2	24,15,28	0,0,0	198	99	0.793713342214	1.0	1.0,0.913,0.84	1.0,1.0,1.0	-0.082
38	"LRRC29"	"LRRC29"	chr16	-	67210047	67210348	67210047	67210322	67223825	67223927	38	1,0,2	2,0,0	1,0,0	1,1,0	125	99	1	1.0	0.284,NA,1.0	0.442,0.0,NA	0.421
39	"HSD17B4"	"HSD17B4"	chr5	+	119475677	119475727	119475705	119475727	119474400	119474460	39	0,0,0	229,172,98	0,0,2	136,134,124	127	99	1	1.0	0.0,0.0,0.0	0.0,0.0,0.012	-0.004
42	"ARHGEF26-AS1"	"ARHGEF26-AS1"	chr3	-	154030276	154030379	154030276	154030376	154084681	154085263	42	1,0,0	0,0,0	0,0,0	0,1,0	102	99	1	1.0	1.0,NA,NA	NA,0.0,NA	1.0
44	"ATP10D"	"ATP10D"	chr4	+	47536685	47536938	47536730	47536938	47536436	47536564	44	16,4,1	0,0,0	11,8,12	2,0,0	144	99	1	1.0	1.0,1.0,1.0	0.791,1.0,1.0	0.07
47	"SRRT"	"SRRT"	chr7	+	100885212	100885370	100885215	100885370	100884922	100885040	47	81,57,74	70,43,45	106,89,105	108,65,104	102	99	0.194569437407	1.0	0.529,0.563,0.615	0.488,0.571,0.495	0.051
48	"SRRT"	"SRRT"	chr7	+	100888041	100888143	100888053	100888143	100887702	100887859	48	166,130,104	45,19,13	221,127,194	32,29,32	111	99	0.745019248004	1.0	0.767,0.859,0.877	0.86,0.796,0.844	0.001
49	"SRRT"	"SRRT"	chr7	+	100888256	100888383	100888277	100888383	100888041	100888143	49	167,107,93	0,0,0	178,126,163	0,2,4	120	99	0.764144863259	1.0	1.0,1.0,1.0	1.0,0.981,0.971	0.016
57	"SURF1"	"SURF1"	chr9	-	133352693	133352766	133352693	133352730	133353748	133353940	57	138,90,66	0,0,0	70,60,86	1,0,0	135	99	1	1.0	1.0,1.0,1.0	0.981,1.0,1.0	0.006
58	"HINT2"	"HINT2"	chr9	-	35813265	35813367	35813265	35813338	35813444	35813549	58	0,2,0	88,39,24	1,2,2	30,33,26	128	99	0.300792195963	1.0	0.0,0.038,0.0	0.025,0.045,0.056	-0.029
60	"EXO1"	"EXO1"	chr1	+	241858505	241858718	241858629	241858718	241857344	241857482	60	109,82,71	0,6,0	105,83,82	2,0,3	223	99	0.51687085391	1.0	1.0,0.859,1.0	0.959,1.0,0.924	-0.008
63	"ABCA2"	"ABCA2"	chr9	-	137012484	137012637	137012484	137012590	137012711	137012925	63	1,0,0	6,7,6	0,0,0	7,8,5	146	99	1	1.0	0.102,0.0,0.0	0.0,0.0,0.0	0.034
65	"ABCA2"	"ABCA2"	chr9	-	137022940	137023840	137022940	137023052	137024142	137024236	65	4,2,3	5,4,1	3,0,0	0,1,0	887	99	1	1.0	0.082,0.053,0.251	1.0,0.0,NA	-0.371
67	"KIF23"	"KIF23"	chr15	+	69446282	69446364	69446285	69446364	69446008	69446091	67	86,33,44	1,0,0	75,65,70	1,3,2	102	99	0.859525864449	1.0	0.988,1.0,1.0	0.986,0.955,0.971	0.025
68	"C11orf30"	"C11orf30"	chr11	+	76459932	76460085	76459935	76460085	76458182	76458358	68	12,7,8	5,3,0	14,21,22	2,1,4	102	99	0.266592885623	1.0	0.7,0.694,1.0	0.872,0.953,0.842	-0.091
69	"C11orf30"	"C11orf30"	chr11	+	76542167	76542367	76542215	76542367	76528267	76528466	69	0,0,0	1,0,3	2,1,1	0,3,0	147	99	1	1.0	0.0,NA,0.0	1.0,0.183,1.0	-0.728
71	"LGALSL"	"LGALSL"	chr2	+	64456267	64456465	64456287	64456465	64455588	64455677	71	0,0,1	30,16,17	0,0,0	17,15,15	119	99	1	1.0	0.0,0.0,0.047	0.0,0.0,0.0	0.016
72	"IKBKB"	"IKBKB"	chr8	+	42306342	42306432	42306367	42306432	42305186	42305275	72	26,18,11	5,0,1	24,14,14	5,0,0	124	99	0.873807852795	1.0	0.806,1.0,0.898	0.793,1.0,1.0	-0.03
73	"IKBKB"	"IKBKB"	chr8	+	42317656	42317771	42317709	42317771	42316709	42316904	73	42,38,15	1,0,2	30,19,30	1,1,0	152	99	1	1.0	0.965,1.0,0.83	0.951,0.925,1.0	-0.027
74	"WDR45B"	"WDR45B"	chr17	-	82619042	82619128	82619042	82619094	82621608	82621799	74	522,417,282	35,22,16	481,354,474	23,27,26	133	99	0.926830211257	1.0	0.917,0.934,0.929	0.94,0.907,0.931	0.001
76	"DDX54"	"DDX54"	chr12	-	113157173	113159112	113157173	113159109	113161269	113161382	76	78,56,38	55,37,28	102,62,74	58,37,36	102	99	0.187910268973	1.0	0.579,0.595,0.568	0.631,0.619,0.666	-0.058
77	"CENPM"	"CENPM"	chr22	-	41945224	41945389	41945224	41945304	41945912	41946005	77	2,0,1	100,92,73	1,0,1	103,67,77	184	99	1	1.0	0.011,0.0,0.007	0.005,0.0,0.007	0.002
78	"SCNN1D"	"SCNN1D"	chr1	+	1282241	1282315	1282275	1282315	1280471	1280666	78	1,1,1	0,4,1	0,2,3	1,2,0	133	99	0.177239010634	0.970886558792	1.0,0.157,0.427	0.0,0.427,1.0	0.052
79	"SCNN1D"	"SCNN1D"	chr1	+	1282241	1282315	1282275	1282315	1281410	1281610	79	1,1,0	0,5,0	0,0,1	0,1,0	133	99	1	1.0	1.0,0.13,NA	NA,0.0,1.0	0.065
95	"EML2"	"EML2"	chr19	-	45641640	45641748	45641640	45641745	45641917	45642041	95	2,4,7	0,2,0	2,0,1	0,0,0	102	99	1	1.0	1.0,0.66,1.0	1.0,NA,1.0	-0.113
99	"CDCA7"	"CDCA7"	chr2	+	173359254	173359491	173359342	173359491	173358711	173358837	99	10,11,16	0,0,0	27,18,18	2,0,0	187	99	1	1.0	1.0,1.0,1.0	0.877,1.0,1.0	0.041
100	"CDCA7"	"CDCA7"	chr2	+	173359254	173359491	173359386	173359491	173358711	173358837	100	12,12,19	0,0,0	32,21,19	0,0,1	231	99	1	1.0	1.0,1.0,1.0	1.0,1.0,0.891	0.036
101	"CDCA7"	"CDCA7"	chr2	+	173359342	173359491	173359386	173359491	173358711	173358837	101	2,1,3	0,0,0	7,3,1	0,0,1	143	99	1	1.0	1.0,1.0,1.0	1.0,1.0,0.409	0.197
102	"FAM213A"	"FAM213A"	chr10	+	80420465	80420645	80420482	80420645	80413818	80413876	102	38,24,11	0,1,0	9,8,6	0,0,0	116	99	1	1.0	1.0,0.953,1.0	1.0,1.0,1.0	-0.016
103	"WDR26"	"WDR26"	chr1	-	224424517	224424719	224424517	224424654	224431476	224431581	103	3,0,0	103,41,46	3,2,2	60,35,70	164	99	0.674179428189	1.0	0.017,0.0,0.0	0.029,0.033,0.017	-0.021
104	"WDR26"	"WDR26"	chr1	-	224424517	224424719	224424517	224424654	224431524	224431581	104	3,0,0	69,58,54	3,1,0	73,50,66	164	99	1	1.0	0.026,0.0,0.0	0.024,0.012,0.0	-0.003
105	"ZDHHC11"	"ZDHHC11"	chr5	-	823388	824093	823388	823809	825163	825251	105	5,9,3	0,1,0	15,5,8	1,3,0	383	99	0.0228918066861	0.347283785864	1.0,0.699,1.0	0.795,0.301,1.0	0.201
108	"PICK1"	"PICK1"	chr22	+	38057752	38057850	38057819	38057850	38057482	38057587	108	101,54,56	0,0,0	64,49,47	1,0,0	166	99	1	1.0	1.0,1.0,1.0	0.974,1.0,1.0	0.009
109	"PICK1"	"PICK1"	chr22	+	38073772	38074451	38074306	38074451	38072999	38073092	109	79,82,61	0,0,1	71,57,62	0,0,0	633	99	1	1.0	1.0,1.0,0.905	1.0,1.0,1.0	-0.032
112	"WDR75"	"WDR75"	chr2	+	189449244	189450968	189450902	189450968	189448378	189448508	112	5,9,2	107,64,68	12,5,9	133,113,127	1757	99	1	1.0	0.003,0.008,0.002	0.005,0.002,0.004	0.001
113	"IL11RA"	"IL11RA"	chr9	+	34660803	34660936	34660853	34660936	34660503	34660600	113	2,0,0	1,2,2	0,0,1	2,0,0	149	99	1	1.0	0.571,0.0,0.0	0.0,NA,1.0	-0.31
118	"TRPM7"	"TRPM7"	chr15	-	50583088	50583159	50583088	50583156	50586391	50586488	118	31,16,25	18,10,2	17,23,48	15,16,18	102	99	0.263078565899	1.0	0.626,0.608,0.924	0.524,0.583,0.721	0.11
121	"NFYC"	"NFYC"	chr1	+	40770396	40771603	40770708	40771603	40769355	40769415	121	315,230,180	166,151,125	282,170,201	157,99,166	411	99	0.687827934142	1.0	0.314,0.268,0.258	0.302,0.293,0.226	0.006
122	"BAZ2A"	"BAZ2A"	chr12	-	56600942	56601098	56600942	56601086	56601179	56601402	122	98,58,36	1,2,1	85,52,74	0,0,2	111	99	0.516592087674	1.0	0.989,0.963,0.97	1.0,1.0,0.971	-0.016
123	"BAZ2A"	"BAZ2A"	chr12	-	56606246	56606395	56606246	56606312	56606632	56606733	123	2,0,0	76,54,54	0,0,1	96,65,79	182	99	1	1.0	0.014,0.0,0.0	0.0,0.0,0.007	0.002
125	"BAZ2A"	"BAZ2A"	chr12	-	56610408	56610539	56610408	56610517	56611572	56611633	125	7,1,0	62,81,42	0,2,1	89,57,90	121	99	0.113449048609	0.785047677184	0.085,0.01,0.0	0.0,0.028,0.009	0.019
126	"B9D1"	"B9D1"	chr17	-	19343169	19343495	19343169	19343461	19343789	19343857	126	1,4,2	27,21,19	0,1,0	17,17,16	133	99	0.0147528250356	0.274825604615	0.027,0.124,0.073	0.0,0.042,0.0	0.061
127	"SEMA4C"	"SEMA4C"	chr2	-	96867777	96867926	96867777	96867923	96868415	96868588	127	1,0,1	0,0,0	2,0,1	1,0,0	102	99	1	1.0	1.0,NA,1.0	0.66,NA,1.0	0.17
128	"SEMA4C"	"SEMA4C"	chr2	-	96867777	96867926	96867777	96867923	96869875	96869971	128	3,1,1	5,3,0	1,0,3	0,3,0	102	99	0.0437857599431	0.495228673285	0.368,0.244,1.0	1.0,0.0,1.0	-0.129
130	"WAC"	"WAC"	chr10	+	28610698	28610821	28610710	28610821	28608185	28608431	130	120,111,101	1,0,0	151,118,137	0,3,2	111	99	1	1.0	0.991,1.0,1.0	1.0,0.972,0.984	0.012
131	"WAC"	"WAC"	chr10	+	28616172	28616362	28616175	28616362	28614566	28614685	131	103,82,61	46,24,23	105,94,121	43,35,37	102	99	0.839588976949	1.0	0.685,0.768,0.72	0.703,0.723,0.76	-0.004
132	"EBP"	"EBP"	chrX	+	48523698	48524072	48523753	48524072	48522192	48522252	132	133,84,76	0,0,0	78,62,84	1,0,0	154	99	1	1.0	1.0,1.0,1.0	0.98,1.0,1.0	0.007
133	"YBX2"	"YBX2"	chr17	-	7291092	7292059	7291092	7291182	7293474	7293538	133	95,65,67	0,2,1	31,13,21	0,1,0	976	99	0.88886184939	1.0	1.0,0.767,0.872	1.0,0.569,1.0	0.023
135	"IL15"	"IL15"	chr4	+	141719365	141719476	141719377	141719476	141656185	141656307	135	2,1,3	0,0,0	0,1,2	0,0,1	111	99	1	1.0	1.0,1.0,1.0	NA,1.0,0.641	0.179
