ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"FBXO3-AS1"	"FBXO3-AS1"	chr11	+	33775447	33775670	33775451	33775670	33775253	33775363
1	"ZNF684"	"ZNF684"	chr1	+	40544396	40545037	40544415	40545037	40541614	40541710
2	"RNF25"	"RNF25"	chr2	-	218665915	218666084	218665915	218666059	218666158	218666230
3	"RP1-46F2.3"	"RP1-46F2.3"	chr12	-	110956238	110956340	110956238	110956336	110957391	110957480
4	"IL1RL1"	"IL1RL1"	chr2	+	102343035	102343177	102343077	102343177	102342222	102342294
5	"RGMB"	"RGMB"	chr5	+	98773952	98774206	98773955	98774206	98770597	98770673
6	"EXOC7"	"EXOC7"	chr17	-	76090328	76090481	76090328	76090397	76091142	76091235
7	"SPATA24"	"SPATA24"	chr5	-	139401754	139401825	139401754	139401816	139401914	139402045
8	"ACTR8"	"ACTR8"	chr3	-	53873031	53873146	53873031	53873127	53874210	53874364
9	"ACTR8"	"ACTR8"	chr3	-	53879938	53880109	53879938	53880072	53881978	53882202
10	"RP11-251P6.1"	"RP11-251P6.1"	chr1	-	105603276	105603562	105603276	105603558	105604162	105604265
11	"RP11-251P6.1"	"RP11-251P6.1"	chr1	-	105604162	105604265	105604162	105604260	105605934	105606007
12	"SLC44A2"	"SLC44A2"	chr19	+	10637643	10637747	10637649	10637747	10636661	10636756
13	"GRIP1"	"GRIP1"	chr12	-	66455408	66455564	66455408	66455561	66456186	66456342
14	"GRIP1"	"GRIP1"	chr12	-	66455408	66455564	66455408	66455561	66462923	66463093
15	"FAIM2"	"FAIM2"	chr12	-	49897518	49897601	49897518	49897583	49897986	49898090
16	"DIS3L2"	"DIS3L2"	chr2	+	232329812	232329996	232329882	232329996	232300039	232300119
17	"DIS3L2"	"DIS3L2"	chr2	+	232329812	232329996	232329885	232329996	232300039	232300119
18	"DIS3L2"	"DIS3L2"	chr2	+	232329882	232329996	232329885	232329996	232300039	232300119
19	"MTG1"	"MTG1"	chr10	+	133401528	133402245	133402148	133402245	133399169	133399226
20	"MTG1"	"MTG1"	chr10	+	133401528	133402245	133402148	133402245	133399528	133399619
21	"APH1A"	"APH1A"	chr1	-	150267074	150267254	150267074	150267202	150267355	150267478
22	"CEP192"	"CEP192"	chr18	+	13038369	13038579	13038514	13038579	13037236	13037301
23	"CEP192"	"CEP192"	chr18	+	13057584	13059312	13059081	13059312	13055779	13056698
24	"CEP192"	"CEP192"	chr18	+	13089451	13089565	13089455	13089565	13087530	13087646
25	"CEP192"	"CEP192"	chr18	+	13116373	13116503	13116376	13116503	13113585	13113705
26	"CEP192"	"CEP192"	chr18	+	13116373	13116503	13116376	13116503	13114129	13114251
27	"RIOK3"	"RIOK3"	chr18	+	23463966	23464112	23464014	23464112	23462963	23463079
28	"RIOK3"	"RIOK3"	chr18	+	23479316	23479424	23479325	23479424	23477178	23477268
29	"C5orf17"	"C5orf17"	chr5	+	23977780	23977922	23977789	23977922	23975996	23976050
30	"RP11-343H19.1"	"RP11-343H19.1"	chr16	-	56709913	56710177	56709913	56709994	56729505	56729968
31	"RFXANK"	"RFXANK"	chr19	+	19196962	19197046	19196965	19197046	19193938	19194133
32	"WDR31"	"WDR31"	chr9	-	113330983	113331116	113330983	113331113	113331906	113332050
33	"PFAS"	"PFAS"	chr17	+	8253841	8254079	8253858	8254079	8249285	8249339
34	"PFAS"	"PFAS"	chr17	+	8266500	8266898	8266752	8266898	8266233	8266353
35	"NEURL4"	"NEURL4"	chr17	-	7317460	7317684	7317460	7317573	7317787	7317932
36	"NEURL4"	"NEURL4"	chr17	-	7318268	7318674	7318268	7318356	7319049	7319208
37	"NEURL4"	"NEURL4"	chr17	-	7318494	7318691	7318494	7318674	7319049	7319208
38	"NEURL4"	"NEURL4"	chr17	-	7324107	7324270	7324107	7324266	7324394	7324480
39	"NEURL4"	"NEURL4"	chr17	-	7326710	7327009	7326710	7326910	7327164	7327230
40	"LRRC29"	"LRRC29"	chr16	-	67210047	67210348	67210047	67210322	67223825	67223927
41	"HSD17B4"	"HSD17B4"	chr5	+	119475677	119475727	119475705	119475727	119474400	119474460
42	"HSD17B4"	"HSD17B4"	chr5	+	119529893	119529980	119529900	119529980	119527132	119527219
43	"SHH"	"SHH"	chr7	-	155800457	155800667	155800457	155800597	155806295	155806557
44	"ARHGEF26-AS1"	"ARHGEF26-AS1"	chr3	-	154030276	154030379	154030276	154030376	154084681	154085263
45	"ARHGEF26-AS1"	"ARHGEF26-AS1"	chr3	-	154030276	154030379	154030276	154030376	154108668	154108785
