"ID"	"GeneID"	"geneSymbol"	"chr"	"strand"	"X1stExonStart_0base"	"X1stExonEnd"	"X2ndExonStart_0base"	"X2ndExonEnd"	"upstreamES"	"upstreamEE"	"downstreamES"	"downstreamEE"	"ID.1"	"IJC_SAMPLE_1"	"SJC_SAMPLE_1"	"IJC_SAMPLE_2"	"SJC_SAMPLE_2"	"IncFormLen"	"SkipFormLen"	"PValue"	"FDR"	"IncLevel1"	"IncLevel2"	"IncLevelDifference"
703	"TBC1D5"	"TBC1D5"	chr3	-	17586352	17586557	17622647	17622765	17518901	17518995	17623848	17623913	703	9,1,4	0,1,2	0,0,0	3,1,1	217	304	1.52100554374e-14	6.50534071058e-11	1.0,0.583,0.737	0.0,0.0,0.0	0.773
2022	"LSM14A"	"LSM14A"	chr19	+	34208928	34209051	34215123	34215300	34196633	34196763	34215595	34215661	2022	56,2,1	0,1,1	2,1,2	1,1,374	222	276	5.36315436506e-11	1.52921408129e-07	1.0,0.713,0.554	0.713,0.554,0.007	0.331
8813	"CANT1"	"CANT1"	chr17	-	79000099	79000270	79005371	79005481	78997839	78997963	79009663	79009793	8813	15,5,16	33,16,18	0,2,2	28,24,29	209	270	4.61326993273e-08	9.86547775114e-05	0.37,0.288,0.535	0.0,0.097,0.082	0.338
448	"FYN"	"FYN"	chr6	-	111699514	111699670	111700103	111700268	111696276	111696456	111702884	111703034	448	201,137,100	68,44,28	65,60,82	58,56,51	264	255	9.62689025163e-08	0.000164696838425	0.741,0.75,0.775	0.52,0.509,0.608	0.21
5400	"GGT1"	"GGT1"	chr22	+	24607953	24608023	24609961	24610033	24594813	24594886	24610357	24610531	5400	8,13,4	9,1,6	1,3,9	0,0,0	169	171	3.03673297397e-07	0.000328197795746	0.474,0.929,0.403	1.0,1.0,1.0	-0.398
9096	"PCBP1-AS1"	"PCBP1-AS1"	chr2	-	69996685	69996888	70032132	70032255	69988741	69988838	70051202	70051305	9096	0,1,1	5,2,4	4,2,5	0,3,0	222	302	3.06942058215e-07	0.000328197795746	0.0,0.405,0.254	1.0,0.476,1.0	-0.606
9822	"THBS3"	"THBS3"	chr1	-	155203512	155203539	155204854	155204957	155203222	155203305	155205059	155205316	9822	14,0,2	7,5,3	8,7,16	1,1,0	202	126	2.45063060955e-07	0.000328197795746	0.555,0.0,0.294	0.833,0.814,1.0	-0.599
5249	"SLC1A6"	"SLC1A6"	chr19	-	14968302	14968507	14976760	14977777	14964318	14964361	14978119	14978274	5249	109,102,76	565,410,326	217,215,256	647,515,586	1116	304	3.67047014782e-07	0.000348857796049	0.05,0.063,0.06	0.084,0.102,0.106	-0.04
3190	"SEC61A2"	"SEC61A2"	chr10	+	12143116	12143195	12149594	12149726	12136104	12136170	12156906	12157067	3190	12,5,3	6,5,8	16,5,9	0,0,2	178	231	5.56530904694e-07	0.000476056535875	0.722,0.565,0.327	1.0,1.0,0.854	-0.413
5198	"ACP1"	"ACP1"	chr2	+	272036	272150	272191	272305	271865	271939	275139	275201	5198	571,496,439	252,164,153	818,651,761	181,132,183	213	213	1.23756880455e-06	0.00096237850492	0.694,0.752,0.742	0.819,0.831,0.806	-0.089
7210	"OSBPL6"	"OSBPL6"	chr2	+	178339671	178339764	178344285	178344360	178338990	178339094	178349223	178349389	7210	60,41,31	9,3,4	60,43,65	1,0,0	192	174	1.53903424116e-06	0.00109707490824	0.858,0.925,0.875	0.982,1.0,1.0	-0.108
5248	"SLC1A6"	"SLC1A6"	chr19	-	14968302	14968507	14976760	14977777	14961309	14962345	14978119	14978274	5248	109,103,76	367,248,196	217,215,256	418,320,375	1116	304	2.58098446249e-06	0.00165125077433	0.075,0.102,0.096	0.124,0.155,0.157	-0.054
