"ID"	"GeneID"	"geneSymbol"	"chr"	"strand"	"X1stExonStart_0base"	"X1stExonEnd"	"X2ndExonStart_0base"	"X2ndExonEnd"	"upstreamES"	"upstreamEE"	"downstreamES"	"downstreamEE"	"ID.1"	"IJC_SAMPLE_1"	"SJC_SAMPLE_1"	"IJC_SAMPLE_2"	"SJC_SAMPLE_2"	"IncFormLen"	"SkipFormLen"	"PValue"	"FDR"	"IncLevel1"	"IncLevel2"	"IncLevelDifference"
7743	"FRMD8"	"FRMD8"	chr11	+	65389384	65389528	65393572	65393674	65387036	65387121	65394040	65394099	7743	2,0,0	12,26,7	5,5,5	5,1,2	198	198	3.8257630397e-10	1.07810002459e-06	0.143,0.0,0.0	0.5,0.833,0.714	-0.635
7145	"TXNRD1"	"TXNRD1"	chr12	+	104290992	104291104	104309758	104309950	104288930	104289040	104311289	104311412	7145	7,8,2	2,1,1	0,4,0	11,9,12	198	198	3.52758333655e-09	7.4555473818e-06	0.778,0.889,0.667	0.0,0.308,0.0	0.675
8813	"CANT1"	"CANT1"	chr17	-	79000099	79000270	79005371	79005481	78997839	78997963	79009663	79009793	8813	14,5,16	25,14,14	0,2,2	24,21,27	198	198	3.73258953745e-08	6.31106238992e-05	0.359,0.263,0.533	0.0,0.087,0.069	0.333
5105	"SYNE1"	"SYNE1"	chr6	-	152347058	152347235	152350167	152350335	152344080	152344227	152350617	152350770	5105	2,2,1	2,0,0	0,0,1	2,2,4	198	198	1.88204610563e-07	0.000265180296283	0.5,1.0,1.0	0.0,0.0,0.2	0.767
9822	"THBS3"	"THBS3"	chr1	-	155203512	155203539	155204854	155204957	155203222	155203305	155205059	155205316	9822	12,0,2	7,5,3	7,7,14	1,1,0	198	125	2.39637699795e-07	0.000289413873438	0.52,0.0,0.296	0.815,0.815,1.0	-0.605
5400	"GGT1"	"GGT1"	chr22	+	24607953	24608023	24609961	24610033	24594813	24594886	24610357	24610531	5400	8,13,4	9,1,6	1,3,9	0,0,0	168	170	3.03750226638e-07	0.000320988052	0.474,0.929,0.403	1.0,1.0,1.0	-0.398
8460	"RPL11"	"RPL11"	chr1	+	23692608	23692759	23693806	23693913	23691778	23691829	23694659	23694791	8460	755,523,578	3544,2564,2116	1279,1181,1269	3768,3136,3694	198	198	6.38331020375e-07	0.000599605605139	0.176,0.169,0.215	0.253,0.274,0.256	-0.074
8250	"SUN1"	"SUN1"	chr7	+	849519	849603	849922	850033	843340	843520	851383	851482	8250	39,30,30	100,89,79	57,64,61	75,48,67	182	198	7.31662056275e-07	0.000618547102375	0.298,0.268,0.292	0.453,0.592,0.498	-0.228
3903	"DTYMK"	"DTYMK"	chr2	-	241681918	241682333	241682798	241682915	241680228	241680319	241685768	241685877	3903	4,4,2	0,2,1	1,0,1	2,1,6	198	198	1.00778576628e-06	0.00077452916983	1.0,0.667,0.667	0.333,0.0,0.143	0.619
1004	"IQCH-AS1"	"IQCH-AS1"	chr15	-	67459691	67459975	67466493	67466711	67430320	67430400	67518999	67519102	1004	3,7,2	1,0,0	1,0,2	3,1,2	198	198	1.26006359646e-06	0.000887714803706	0.75,1.0,1.0	0.25,0.0,0.5	0.667
7210	"OSBPL6"	"OSBPL6"	chr2	+	178339671	178339764	178344285	178344360	178338990	178339094	178349223	178349389	7210	60,41,31	9,3,4	60,43,65	1,0,0	191	173	1.53584535179e-06	0.000998772046464	0.858,0.925,0.875	0.982,1.0,1.0	-0.108
448	"FYN"	"FYN"	chr6	-	111699514	111699670	111700103	111700268	111696276	111696456	111702884	111703034	448	149,100,67	41,36,27	48,45,58	41,47,38	198	198	1.76888558601e-06	0.00106815419601	0.784,0.735,0.713	0.539,0.489,0.604	0.2
5263	"SCAPER"	"SCAPER"	chr15	-	76841733	76841931	76857808	76857879	76804532	76804633	76883811	76883876	5263	2,3,3	12,6,4	0,0,0	2,4,4	169	198	2.64124907423e-06	0.00143203899354	0.163,0.369,0.468	0.0,0.0,0.0	0.333
7865	"MDM1"	"MDM1"	chr12	-	68325440	68325575	68326656	68327021	68323072	68323240	68331106	68331221	7865	6,6,9	0,0,0	10,10,9	1,4,5	198	198	2.71027015575e-06	0.00143203899354	1.0,1.0,1.0	0.909,0.714,0.643	0.245
8884	"FAM3C"	"FAM3C"	chr7	-	121378909	121379014	121382956	121383010	121372109	121372139	121396161	121396308	8884	2,1,0	86,60,47	10,8,13	126,90,109	152	198	3.26200580469e-06	0.0016221762984	0.029,0.021,0.0	0.094,0.104,0.134	-0.094
6490	"FNBP1"	"FNBP1"	chr9	-	129915965	129915980	129923843	129923996	129908889	129908999	129924959	129925157	6490	16,13,10	7,4,2	42,24,28	1,0,2	198	113	3.47974835735e-06	0.00163432181184	0.566,0.65,0.74	0.96,1.0,0.889	-0.298
8933	"ARNTL2"	"ARNTL2"	chr12	+	27370128	27370230	27376345	27376387	27368261	27368412	27380246	27380404	8933	4,1,1	0,0,0	3,2,0	1,1,4	198	140	4.59609324521e-06	0.00204501959447	1.0,1.0,1.0	0.68,0.586,0.0	0.578
3494	"CYB561A3"	"CYB561A3"	chr11	-	61352984	61353139	61353783	61353992	61350990	61351147	61361732	61361913	3494	9,6,5	102,89,73	0,0,1	85,60,86	198	198	6.55240594938e-06	0.0027697019948	0.081,0.063,0.064	0.0,0.0,0.011	0.066
5803	"CCBL1"	"CCBL1"	chr9	-	128846679	128846859	128847432	128847643	128845352	128845411	128881896	128882075	5803	0,0,0	4,1,2	2,0,8	2,1,3	198	198	7.04347128411e-06	0.00283550029695	0.0,0.0,0.0	0.5,0.0,0.727	-0.409
