"ID"	"GeneID"	"geneSymbol"	"chr"	"strand"	"X1stExonStart_0base"	"X1stExonEnd"	"X2ndExonStart_0base"	"X2ndExonEnd"	"upstreamES"	"upstreamEE"	"downstreamES"	"downstreamEE"	"ID.1"	"IJC_SAMPLE_1"	"SJC_SAMPLE_1"	"IJC_SAMPLE_2"	"SJC_SAMPLE_2"	"IncFormLen"	"SkipFormLen"	"PValue"	"FDR"	"IncLevel1"	"IncLevel2"	"IncLevelDifference"
1797	"BIRC5"	"BIRC5"	chr17	+	78214679	78214789	78216663	78216781	78214262	78214427	78222827	78222992	1797	387,433,206	8,5,1	652,329,639	57,25,57	198	198	4.66293670343e-15	7.82829356894e-12	0.98,0.989,0.995	0.92,0.929,0.918	0.066
1383	"RUNX1"	"RUNX1"	chr21	-	34834409	34834601	34859473	34859578	34821278	34821696	34880556	34880713	1383	288,350,222	21,21,8	305,169,346	63,54,67	198	198	5.55111512313e-15	7.98805466218e-12	0.932,0.943,0.965	0.829,0.758,0.838	0.138
4377	"CTNNA1"	"CTNNA1"	chr5	+	138783176	138783372	138824529	138824799	138781922	138782029	138827514	138827718	4377	37,44,18	118,141,102	190,99,222	217,115,228	198	198	8.10462807976e-15	1.02047398309e-11	0.239,0.238,0.15	0.467,0.463,0.493	-0.265
3489	"TYK2"	"TYK2"	chr19	-	10352433	10352551	10352925	10353098	10351051	10351162	10354041	10354234	3489	3,13,9	159,148,79	51,25,54	153,86,148	198	198	5.81756864904e-14	6.20671847251e-11	0.019,0.081,0.102	0.25,0.225,0.267	-0.18
10525	"DPM1"	"DPM1"	chr20	-	50942030	50942126	50945736	50945762	50936147	50936262	50945846	50945861	10525	68,72,45	19,21,11	64,41,51	84,51,54	124	194	6.16173778667e-14	6.20671847251e-11	0.848,0.843,0.865	0.544,0.557,0.596	0.286
10495	"HNRNPDL"	"HNRNPDL"	chr4	-	82426036	82426129	82426462	82426633	82425562	82425667	82427189	82427304	10495	476,502,306	36,53,28	420,257,426	116,76,91	198	191	7.76045894213e-14	7.10646390219e-11	0.927,0.901,0.913	0.777,0.765,0.819	0.127
4768	"ANKRD11"	"ANKRD11"	chr16	-	89291680	89291777	89305205	89305344	89291012	89291183	89316932	89317078	4768	276,288,150	80,83,47	746,378,640	66,42,82	198	195	3.13860049062e-13	2.63459356183e-10	0.773,0.774,0.759	0.918,0.899,0.885	-0.132
5321	"KIAA1191"	"KIAA1191"	chr5	-	176355570	176355749	176359480	176359567	176350612	176350737	176359810	176359918	5321	112,117,75	30,25,14	132,80,98	93,58,101	185	198	7.09432512735e-13	5.49701053906e-10	0.8,0.834,0.851	0.603,0.596,0.509	0.259
6064	"TMEM183A"	"TMEM183A"	chr1	+	203014888	203015048	203015959	203016140	203008642	203008810	203017755	203017919	6064	212,227,153	24,22,29	270,161,269	92,64,114	198	198	1.24489307751e-12	8.95700569268e-10	0.898,0.912,0.841	0.746,0.716,0.702	0.162
11385	"GPI"	"GPI"	chr19	+	34381465	34381519	34393247	34393308	34379517	34379562	34393727	34393771	11385	123,1,1	1281,1380,756	0,0,3	1195,687,1098	152	159	1.51778589697e-12	1.01924382268e-09	0.091,0.001,0.001	0.0,0.0,0.003	0.03
4971	"RPL13A"	"RPL13A"	chr19	+	49490231	49490297	49490474	49490576	49489849	49489912	49490778	49490864	4971	176,225,145	3702,4079,2324	338,155,306	2840,1672,2711	164	198	5.84887693833e-12	3.68223358749e-09	0.054,0.062,0.07	0.126,0.101,0.12	-0.054
10070	"ZZZ3"	"ZZZ3"	chr1	-	77631849	77633405	77639448	77639602	77584516	77584655	77641383	77641446	10070	47,26,19	70,58,46	54,52,52	18,20,29	198	198	8.11051226179e-12	4.80571705959e-09	0.402,0.31,0.292	0.75,0.722,0.642	-0.37
2807	"ANAPC15"	"ANAPC15"	chr11	-	72111156	72111286	72111411	72111496	72110543	72110603	72111923	72112232	2807	1,0,2	224,265,135	23,20,31	485,237,455	183	198	3.42212924664e-11	1.91506155008e-08	0.005,0.0,0.016	0.049,0.084,0.069	-0.06
