ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
3	"CFAP69"	"CFAP69"	chr7	+	90268285	90268384	90268285	90268330	90271525	90271675	3	1,0,0	0,2,0	0,0,0	0,2,0	152	99	1	1.0	1.0,0.0,NA	NA,0.0,NA	0.5
4	"MBD4"	"MBD4"	chr3	-	129436442	129437308	129436460	129437308	129434061	129434136	4	32,51,24	76,103,54	108,49,102	227,126,240	116	99	0.801241782479	1.0	0.264,0.297,0.275	0.289,0.249,0.266	0.011
5	"MBD4"	"MBD4"	chr3	-	129437719	129437950	129437807	129437950	129434061	129434136	5	69,82,53	0,0,1	209,98,158	2,2,1	186	99	0.537778477134	1.0	1.0,1.0,0.966	0.982,0.963,0.988	0.011
8	"RNF25"	"RNF25"	chr2	-	218668238	218668341	218668278	218668341	218668078	218668146	8	55,52,34	2,0,1	156,89,144	0,2,2	138	99	0.806885415033	1.0	0.952,1.0,0.961	1.0,0.97,0.981	-0.013
9	"SLC44A2"	"SLC44A2"	chr19	+	10625519	10625670	10625519	10625549	10626252	10626301	9	872,878,501	0,1,0	713,484,729	3,0,0	198	99	1	1.0	1.0,0.998,1.0	0.992,1.0,1.0	0.002
10	"SLC44A2"	"SLC44A2"	chr19	+	10634755	10635073	10634755	10634887	10635162	10635255	10	1423,1710,922	3,1,1	1167,701,1357	4,1,2	198	99	1	1.0	0.996,0.999,0.998	0.993,0.997,0.997	0.002
11	"SLC44A2"	"SLC44A2"	chr19	+	10634755	10635073	10634755	10634887	10636322	10636585	11	43,49,31	2,3,3	52,25,41	2,2,1	198	99	0.298289327698	0.999545802402	0.915,0.891,0.838	0.929,0.862,0.953	-0.033
12	"NTMT1"	"NTMT1"	chr9	+	129632649	129632865	129632649	129632801	129634053	129634306	12	230,249,135	19,34,14	359,188,348	83,37,49	162	99	0.00126692738643	0.021948008723	0.881,0.817,0.855	0.726,0.756,0.813	0.086
13	"PARL"	"PARL"	chr3	-	183862696	183862801	183862752	183862801	183844230	183844326	13	10,16,9	91,122,55	35,18,45	110,83,98	154	99	2.43435538815e-05	0.000928257706611	0.066,0.078,0.095	0.17,0.122,0.228	-0.094
14	"DIS3L2"	"DIS3L2"	chr2	+	232130618	232130943	232130618	232130719	232136471	232136719	14	1,2,1	18,34,10	0,2,0	49,21,44	198	99	0.402523433858	1.0	0.027,0.029,0.048	0.0,0.045,0.0	0.02
15	"DIS3L2"	"DIS3L2"	chr2	+	232130618	232130943	232130618	232130719	232163458	232163632	15	0,2,1	0,0,0	0,2,0	1,5,1	198	99	1	1.0	NA,1.0,1.0	0.0,0.167,0.0	0.944
16	"RIOK3"	"RIOK3"	chr18	+	23473428	23473626	23473428	23473483	23474947	23475107	16	99,110,68	1,3,4	146,75,148	4,3,1	198	99	0.658363370963	1.0	0.98,0.948,0.895	0.948,0.926,0.987	-0.013
18	"ZNF101"	"ZNF101"	chr19	+	19677863	19677990	19677863	19677986	19678725	19678786	18	8,14,13	3,2,3	44,13,21	23,9,22	102	99	0.00275455833604	0.0378154084019	0.721,0.872,0.808	0.65,0.584,0.481	0.229
22	"WDR31"	"WDR31"	chr9	-	113331906	113332050	113331977	113332050	113330983	113331116	22	2,6,5	0,0,0	1,4,4	1,0,0	169	99	1	1.0	1.0,1.0,1.0	0.369,1.0,1.0	0.21
25	"NEURL4"	"NEURL4"	chr17	-	7322947	7323123	7322953	7323123	7322734	7322866	25	15,20,16	3,4,5	40,17,43	16,4,10	104	99	0.431050648279	1.0	0.826,0.826,0.753	0.704,0.802,0.804	0.032
26	"NEURL4"	"NEURL4"	chr17	-	7324798	7324980	7324910	7324980	7324394	7324480	26	64,55,46	1,2,1	92,67,107	2,2,2	198	99	0.765054224998	1.0	0.97,0.932,0.958	0.958,0.944,0.964	-0.002
27	"HSD17B4"	"HSD17B4"	chr5	+	119477416	119477501	119477416	119477492	119478833	119479021	27	149,161,94	0,0,1	99,70,66	2,0,0	107	99	1	1.0	1.0,1.0,0.989	0.979,1.0,1.0	0.003
30	"POLR3H"	"POLR3H"	chr22	-	41532603	41532745	41532658	41532745	41532093	41532157	30	29,67,24	148,157,111	192,101,180	578,333,634	153	99	0.494763174942	1.0	0.113,0.216,0.123	0.177,0.164,0.155	-0.015
31	"SRRT"	"SRRT"	chr7	+	100885700	100885774	100885700	100885762	100885862	100885941	31	1,1,0	103,136,80	3,0,3	182,101,200	110	99	1	1.0	0.009,0.007,0.0	0.015,0.0,0.013	-0.004
34	"CLPTM1"	"CLPTM1"	chr19	+	44954590	44955085	44954590	44954701	44961962	44962075	34	5,2,1	0,1,0	24,10,21	0,3,2	198	99	0.0332006948647	0.241568255836	1.0,0.5,1.0	1.0,0.625,0.84	0.012
35	"E2F4"	"E2F4"	chr16	+	67192760	67192870	67192760	67192824	67193008	67193170	35	183,239,119	0,0,0	432,289,473	4,1,2	144	99	1	1.0	1.0,1.0,1.0	0.987,0.995,0.994	0.008
36	"EXO1"	"EXO1"	chr1	+	241853357	241853481	241853357	241853472	241857344	241857482	36	77,113,41	1,1,2	258,134,247	5,4,5	107	99	0.198036039075	0.783103380603	0.986,0.991,0.95	0.979,0.969,0.979	-0.0
38	"PLAU"	"PLAU"	chr10	+	73911524	73911925	73911524	73911612	73912040	73912068	38	4,4,1	41,39,25	9,7,11	82,53,89	198	99	0.183009745837	0.747238445965	0.047,0.049,0.02	0.052,0.062,0.058	-0.019
39	"PLAU"	"PLAU"	chr10	+	73911524	73911925	73911524	73911612	73912214	73912322	39	4,4,1	0,0,0	8,5,7	1,4,0	198	99	0.00555769756183	0.0645971365174	1.0,1.0,1.0	0.8,0.385,1.0	0.272
42	"IKBKB"	"IKBKB"	chr8	+	42293442	42293568	42293442	42293512	42305186	42305275	42	2,1,0	16,19,3	3,2,3	26,14,14	154	99	0.0702247730458	0.407460485392	0.074,0.033,0.0	0.069,0.084,0.121	-0.056
43	"DDX54"	"DDX54"	chr12	-	113180928	113181058	113180980	113181058	113179934	113180005	43	199,189,132	0,0,0	218,142,262	0,1,2	150	99	1	1.0	1.0,1.0,1.0	1.0,0.989,0.989	0.007
47	"EML2"	"EML2"	chr19	-	45639294	45639397	45639356	45639397	45638844	45638873	47	8,3,9	52,59,46	11,4,6	44,31,82	160	99	0.882716263081	1.0	0.087,0.031,0.108	0.134,0.074,0.043	-0.008
49	"NELL2"	"NELL2"	chr12	-	44774746	44774849	44774761	44774849	44714649	44714741	49	1,1,0	0,0,0	6,0,0	0,0,1	113	99	1	1.0	1.0,1.0,NA	1.0,NA,0.0	0.5
50	"PSEN1"	"PSEN1"	chr14	+	73147966	73148106	73147966	73148094	73170796	73171047	50	45,63,44	51,51,32	91,42,113	111,51,84	110	99	0.477830542992	1.0	0.443,0.526,0.553	0.425,0.426,0.548	0.041
