ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"EXOC7"	"EXOC7"	chr17	-	76087653	76088562	76087653	76087720	76088463	76088562	2	2,9,18	4,4,6	7,7,3	0,1,0	198	99	4.76405952499e-06	0.000158742058889	0.2,0.529,0.6	1.0,0.778,1.0	-0.483
3	"PDZD11"	"PDZD11"	chrX	-	70289254	70289593	70289254	70289354	70289521	70289593	3	4,3,2	10,6,14	1,1,5	7,7,6	198	99	0.80701109119	1.0	0.167,0.2,0.067	0.067,0.067,0.294	0.002
4	"SLC44A2"	"SLC44A2"	chr19	+	10634755	10635073	10634755	10634887	10634973	10635073	4	92,42,84	874,507,858	43,14,30	735,491,739	184	99	1.24879025232e-07	7.11407608257e-06	0.054,0.043,0.05	0.031,0.015,0.021	0.027
5	"SLC44A2"	"SLC44A2"	chr19	+	10635162	10635515	10635162	10635255	10635430	10635515	5	109,68,118	1511,866,1847	60,50,48	1310,1022,1136	198	99	0.000709285495285	0.00956072759158	0.035,0.038,0.031	0.022,0.024,0.021	0.012
6	"MTG1"	"MTG1"	chr10	+	133401528	133402245	133401528	133401590	133402148	133402245	6	16,3,15	96,60,87	9,9,19	77,62,100	198	99	0.699301399325	1.0	0.077,0.024,0.079	0.055,0.068,0.087	-0.01
7	"MTG1"	"MTG1"	chr10	+	133402148	133402773	133402148	133402245	133402691	133402773	7	0,0,2	146,76,165	3,0,0	113,78,110	198	99	1	1.0	0.0,0.0,0.006	0.013,0.0,0.0	-0.002
8	"CEP192"	"CEP192"	chr18	+	13057584	13059312	13057584	13057733	13059081	13059312	8	0,2,1	14,9,16	0,0,0	10,8,12	198	99	0.958309116756	1.0	0.0,0.1,0.03	0.0,0.0,0.0	0.043
9	"RIOK3"	"RIOK3"	chr18	+	23477005	23477268	23477005	23477086	23477178	23477268	9	7,11,13	226,108,217	9,5,6	91,56,68	190	99	0.198187058256	0.623327417418	0.016,0.05,0.03	0.049,0.044,0.044	-0.014
14	"PFAS"	"PFAS"	chr17	+	8256266	8256648	8256266	8256407	8256523	8256648	14	1,2,1	78,40,50	1,0,1	27,25,33	198	99	1	1.0	0.006,0.024,0.01	0.018,0.0,0.015	0.002
15	"NEURL4"	"NEURL4"	chr17	-	7318064	7318356	7318064	7318172	7318268	7318356	15	13,7,19	39,34,43	12,6,3	34,18,23	194	99	0.450265163464	1.0	0.145,0.095,0.184	0.153,0.145,0.062	0.021
16	"NEURL4"	"NEURL4"	chr17	-	7318268	7318674	7318268	7318356	7318494	7318674	16	2,0,3	53,18,42	4,1,1	27,21,17	198	99	0.306544566326	0.840617553	0.019,0.0,0.034	0.069,0.023,0.029	-0.023
17	"NEURL4"	"NEURL4"	chr17	-	7321559	7322010	7321559	7321787	7321864	7322010	17	5,0,6	27,20,25	1,2,1	24,21,14	175	99	0.0689261087552	0.305638676498	0.095,0.0,0.12	0.023,0.051,0.039	0.034
18	"HSD17B4"	"HSD17B4"	chr5	+	119492099	119493946	119492099	119492124	119493817	119493946	18	4,2,5	111,52,84	1,2,1	114,87,117	198	99	0.26669755359	0.762733408324	0.018,0.019,0.029	0.004,0.011,0.004	0.016
25	"PPM1M"	"PPM1M"	chr3	+	52248152	52248453	52248152	52248237	52248334	52248453	25	0,4,4	19,4,16	2,1,3	5,10,6	195	99	0.708253954804	1.0	0.0,0.337,0.113	0.169,0.048,0.202	0.01
26	"PPM1M"	"PPM1M"	chr3	+	52249173	52250595	52249173	52249322	52249669	52250595	26	2,0,1	23,6,20	1,2,2	4,1,4	198	99	0.0603560379812	0.279393874377	0.042,0.0,0.024	0.111,0.5,0.2	-0.248
28	"NOC3L"	"NOC3L"	chr10	-	94357173	94358215	94357173	94357331	94358082	94358215	28	2,0,3	109,59,78	0,1,0	48,57,63	198	99	1	1.0	0.009,0.0,0.019	0.0,0.009,0.0	0.006
30	"E2F4"	"E2F4"	chr16	+	67192760	67193170	67192760	67192824	67193008	67193170	30	177,118,189	4,1,2	98,72,95	0,0,0	198	99	0.454512701033	1.0	0.957,0.983,0.979	1.0,1.0,1.0	-0.027
31	"E2F4"	"E2F4"	chr16	+	67192760	67193170	67192760	67192870	67193008	67193170	31	38,35,40	286,203,322	18,19,17	153,120,169	198	99	0.412113772158	1.0	0.062,0.079,0.058	0.056,0.073,0.048	0.007
32	"ABCA2"	"ABCA2"	chr9	-	137010192	137010737	137010192	137010371	137010619	137010737	32	1,0,1	11,2,15	0,0,0	4,3,7	198	99	1	1.0	0.043,0.0,0.032	0.0,0.0,0.0	0.025
33	"ABCA2"	"ABCA2"	chr9	-	137010972	137011309	137010972	137011105	137011185	137011309	33	0,2,0	14,6,12	1,0,0	18,7,13	178	99	1	1.0	0.0,0.156,0.0	0.03,0.0,0.0	0.042
34	"ABCA2"	"ABCA2"	chr9	-	137011406	137011749	137011406	137011554	137011633	137011749	34	0,0,0	19,5,15	0,1,0	5,1,11	177	99	1	1.0	0.0,0.0,0.0	0.0,0.359,0.0	-0.12
35	"ABCA2"	"ABCA2"	chr9	-	137021391	137022001	137021391	137021610	137021890	137022001	35	1,0,0	3,3,4	3,0,0	6,6,5	198	99	0.779881594678	1.0	0.143,0.0,0.0	0.2,0.0,0.0	-0.019
39	"CTPS1"	"CTPS1"	chr1	+	41008658	41008890	41008658	41008714	41008793	41008890	39	27,17,19	278,123,274	18,6,25	241,155,231	177	99	0.355967263915	0.921756874009	0.052,0.072,0.037	0.04,0.021,0.057	0.014
40	"IKBKB"	"IKBKB"	chr8	+	42319269	42320844	42319269	42319421	42320734	42320844	40	9,7,9	0,1,0	0,3,0	0,0,1	198	99	1	1.0	1.0,0.778,1.0	NA,1.0,0.0	0.426
44	"SCNN1D"	"SCNN1D"	chr1	+	1287507	1287836	1287507	1287596	1287672	1287836	44	2,0,5	1,0,0	8,4,5	5,2,0	174	99	1	1.0	0.532,NA,1.0	0.477,0.532,1.0	0.096
47	"EML2"	"EML2"	chr19	-	45638504	45638873	45638504	45638634	45638844	45638873	47	0,0,1	59,42,104	0,0,2	79,60,77	198	99	1	1.0	0.0,0.0,0.005	0.0,0.0,0.013	-0.003
48	"EML2"	"EML2"	chr19	-	45641917	45642352	45641917	45642041	45642133	45642352	48	2,0,1	3,1,0	4,0,2	1,0,2	190	99	1	1.0	0.258,0.0,1.0	0.676,NA,0.343	-0.09
50	"IDI1"	"IDI1"	chr10	-	1043300	1044171	1043300	1043393	1043998	1044171	50	1,1,3	100,54,92	4,1,2	155,130,169	198	99	1	1.0	0.005,0.009,0.016	0.013,0.004,0.006	0.002
51	"CDCA7"	"CDCA7"	chr2	+	173363817	173364989	173363817	173363895	173364794	173364989	51	15,10,16	60,36,90	12,13,13	50,34,46	198	99	0.319751770305	0.861451756459	0.111,0.122,0.082	0.107,0.16,0.124	-0.025
54	"PICK1"	"PICK1"	chr22	+	38073772	38074451	38073772	38073823	38074306	38074451	54	18,17,20	92,51,99	4,11,3	40,24,20	198	99	0.58387282824	1.0	0.089,0.143,0.092	0.048,0.186,0.07	0.007
57	"ALOX15"	"ALOX15"	chr17	-	4638926	4639132	4638926	4638972	4639050	4639132	57	1,1,3	2,3,2	0,0,0	2,0,0	176	99	1	1.0	0.22,0.158,0.458	0.0,NA,NA	0.279
58	"FLNB"	"FLNB"	chr3	+	58168439	58169793	58168439	58168658	58169589	58169793	58	0,0,1	131,80,106	1,0,0	148,57,117	198	99	1	1.0	0.0,0.0,0.005	0.003,0.0,0.0	0.001
59	"CCDC84"	"CCDC84"	chr11	+	119011938	119012254	119011938	119012003	119012148	119012254	59	13,0,2	34,23,40	1,2,3	13,22,14	198	99	0.544685027751	1.0	0.16,0.0,0.024	0.037,0.043,0.097	0.002
60	"RFWD2"	"RFWD2"	chr1	-	175988287	175989479	175988287	175988412	175989361	175989479	60	1,0,0	70,41,77	0,1,0	66,25,55	198	99	1	1.0	0.007,0.0,0.0	0.0,0.02,0.0	-0.004
61	"IL11RA"	"IL11RA"	chr9	+	34655217	34655665	34655217	34655317	34655604	34655665	61	0,0,0	7,3,5	0,0,2	2,0,1	198	99	1	1.0	0.0,0.0,0.0	0.0,NA,0.5	-0.25
62	"FARSA"	"FARSA"	chr19	-	12924638	12925003	12924638	12924807	12924903	12925003	62	12,4,6	425,247,451	5,4,5	541,415,517	194	99	1	1.0	0.014,0.008,0.007	0.005,0.005,0.005	0.005
63	"FARSA"	"FARSA"	chr19	-	12930428	12930749	12930428	12930527	12930611	12930749	63	1,0,0	338,223,374	0,1,0	519,339,510	182	99	1	1.0	0.002,0.0,0.0	0.0,0.002,0.0	0.0
67	"TRPM7"	"TRPM7"	chr15	-	50575723	50575919	50575723	50575789	50575868	50575919	67	0,0,1	63,35,52	0,0,0	32,36,25	177	99	1	1.0	0.0,0.0,0.011	0.0,0.0,0.0	0.004
69	"BAZ2A"	"BAZ2A"	chr12	-	56604584	56605327	56604584	56604799	56605072	56605327	69	7,3,5	63,39,54	3,1,0	48,33,25	198	99	0.0140694965316	0.0932335117253	0.053,0.037,0.044	0.03,0.015,0.0	0.03
70	"BAZ2A"	"BAZ2A"	chr12	-	56615013	56615607	56615013	56615128	56615218	56615607	70	147,75,120	5,1,2	100,76,81	7,5,4	188	99	0.0143452537427	0.0948828393618	0.939,0.975,0.969	0.883,0.889,0.914	0.066
71	"B9D1"	"B9D1"	chr17	-	19343169	19343857	19343169	19343461	19343789	19343857	71	4,0,0	11,14,20	4,3,1	17,17,16	198	99	0.127611592217	0.463183339874	0.154,0.0,0.0	0.105,0.081,0.03	-0.021
73	"WAC"	"WAC"	chr10	+	28614566	28616362	28614566	28614685	28616172	28616362	73	1,0,3	224,122,185	0,2,4	104,92,119	198	99	1	1.0	0.002,0.0,0.008	0.0,0.011,0.017	-0.006
74	"WAC"	"WAC"	chr10	+	28614566	28616362	28614566	28614685	28616175	28616362	74	5,2,8	58,50,59	1,4,6	43,35,37	198	99	0.977309493022	1.0	0.041,0.02,0.063	0.011,0.054,0.075	-0.005
76	"INPP5J"	"INPP5J"	chr22	+	31126612	31127532	31126612	31126721	31127356	31127532	76	5,2,3	0,1,0	2,0,2	0,1,1	198	99	1	1.0	1.0,0.5,1.0	1.0,0.0,0.5	0.333
77	"INPP5J"	"INPP5J"	chr22	+	31133609	31134696	31133609	31133714	31133912	31134696	77	1,0,0	42,24,40	1,0,1	3,3,7	198	99	1	1.0	0.012,0.0,0.0	0.143,0.0,0.067	-0.066
78	"YBX2"	"YBX2"	chr17	-	7291092	7292059	7291092	7291182	7292025	7292059	78	11,9,5	26,14,8	2,2,0	18,7,9	198	99	0.00024097058762	0.00401466092205	0.175,0.243,0.238	0.053,0.125,0.0	0.159
79	"TMTC4"	"TMTC4"	chr13	-	100634804	100635195	100634804	100634936	100635023	100635195	79	0,0,1	31,28,33	0,1,0	44,20,19	185	99	1	1.0	0.0,0.0,0.016	0.0,0.026,0.0	-0.003
80	"AQR"	"AQR"	chr15	-	34873827	34874864	34873827	34873999	34874676	34874864	80	0,2,2	77,41,49	0,2,0	67,34,54	198	99	1	1.0	0.0,0.024,0.02	0.0,0.029,0.0	0.005
96	"FTSJ1"	"FTSJ1"	chrX	+	48477960	48478518	48477960	48478168	48478448	48478518	96	0,7,5	339,210,404	7,2,6	284,200,244	198	99	1	1.0	0.0,0.016,0.006	0.012,0.005,0.012	-0.002
97	"FTSJ1"	"FTSJ1"	chrX	+	48481425	48481715	48481425	48481528	48481631	48481715	97	24,2,16	273,157,292	10,5,13	204,127,174	198	99	0.761369131393	1.0	0.042,0.006,0.027	0.024,0.019,0.036	-0.001
98	"FTSJ1"	"FTSJ1"	chrX	+	48482596	48483027	48482596	48482794	48482985	48483027	98	91,63,75	131,75,122	71,47,81	80,45,79	198	99	0.0341454247919	0.181818253027	0.258,0.296,0.235	0.307,0.343,0.339	-0.067
102	"SLC52A2"	"SLC52A2"	chr8	+	144359622	144360493	144359622	144359747	144360171	144360493	102	907,486,848	0,0,15	551,418,455	0,0,0	198	99	0.751071358406	1.0	1.0,1.0,0.966	1.0,1.0,1.0	-0.011
110	"NR4A2"	"NR4A2"	chr2	-	156326149	156326328	156326149	156326207	156326311	156326328	110	10,2,12	1,0,0	5,4,7	0,0,0	198	99	1	1.0	0.833,1.0,1.0	1.0,1.0,1.0	-0.056
112	"CPSF7"	"CPSF7"	chr11	-	61415665	61416519	61415665	61415784	61416104	61416519	112	9,7,7	425,235,396	4,2,3	210,119,165	198	99	1	1.0	0.01,0.015,0.009	0.009,0.008,0.009	0.003
113	"CPSF7"	"CPSF7"	chr11	-	61416104	61416519	61416104	61416162	61416363	61416519	113	729,333,653	2,2,2	344,202,288	0,0,0	198	99	1	1.0	0.995,0.988,0.994	1.0,1.0,1.0	-0.008
114	"CPSF7"	"CPSF7"	chr11	-	61420469	61421608	61420469	61420530	61421389	61421608	114	54,19,31	0,0,0	28,22,20	0,0,1	198	99	1	1.0	1.0,1.0,1.0	1.0,1.0,0.909	0.03
115	"CPSF7"	"CPSF7"	chr11	-	61420469	61421608	61420469	61420573	61421389	61421608	115	6,0,4	245,121,203	5,3,7	122,71,108	198	99	0.048154641347	0.235570904761	0.012,0.0,0.01	0.02,0.021,0.031	-0.017
117	"ZSCAN2"	"ZSCAN2"	chr15	+	84620601	84622714	84620601	84620772	84622645	84622714	117	21,3,16	3,0,4	4,4,7	0,0,1	198	99	0.000113312344547	0.00219900659857	0.778,1.0,0.667	1.0,1.0,0.778	-0.111
122	"DNASE1"	"DNASE1"	chr16	+	3656998	3657341	3656998	3657111	3657186	3657341	122	7,9,3	3,0,0	4,7,8	1,0,0	173	99	0.439065801203	1.0	0.572,1.0,1.0	0.696,1.0,1.0	-0.041
123	"XPNPEP1"	"XPNPEP1"	chr10	-	109875527	109877867	109875527	109875599	109877789	109877867	123	4,11,5	116,58,111	4,4,5	87,58,66	198	99	0.602468622266	1.0	0.017,0.087,0.022	0.022,0.033,0.036	0.012
124	"PSMA1"	"PSMA1"	chr11	-	14513816	14514491	14513816	14513887	14514402	14514491	124	24,10,23	414,229,365	14,17,24	499,409,441	198	99	0.138303065971	0.490448221897	0.028,0.021,0.031	0.014,0.02,0.026	0.007
125	"TRAPPC6B"	"TRAPPC6B"	chr14	-	39158284	39159550	39158284	39158402	39159449	39159550	125	0,0,2	33,24,31	1,0,2	4,6,5	198	99	0.813941027578	1.0	0.0,0.0,0.031	0.111,0.0,0.167	-0.082
126	"TRAPPC6B"	"TRAPPC6B"	chr14	-	39158284	39159550	39158284	39158402	39159482	39159550	126	15,2,12	14,13,27	1,2,5	22,10,15	198	99	0.00748999204759	0.05918266647	0.349,0.071,0.182	0.022,0.091,0.143	0.115
127	"GALE"	"GALE"	chr1	-	23796508	23796782	23796508	23796586	23796696	23796782	127	47,25,32	100,53,99	14,25,12	111,84,91	198	99	2.98812211053e-05	0.000767545075615	0.19,0.191,0.139	0.059,0.13,0.062	0.09
128	"GALE"	"GALE"	chr1	-	23798116	23798730	23798116	23798225	23798614	23798730	128	8,5,3	6,1,9	8,11,7	5,8,3	198	99	0.481211297526	1.0	0.4,0.714,0.143	0.444,0.407,0.538	-0.044
129	"GALE"	"GALE"	chr1	-	23798116	23798730	23798116	23798230	23798614	23798730	129	6,4,3	81,42,83	7,9,7	85,62,82	198	99	0.145742049886	0.510675516069	0.036,0.045,0.018	0.04,0.068,0.041	-0.017
136	"VPS28"	"VPS28"	chr8	-	144423600	144424132	144423600	144423922	144424040	144424132	136	362,197,393	103,63,73	95,51,49	71,48,64	198	99	3.3317792969e-13	5.11645412028e-11	0.637,0.61,0.729	0.401,0.347,0.277	0.317
137	"VPS28"	"VPS28"	chr8	-	144424214	144424819	144424214	144424268	144424717	144424819	137	132,60,87	381,173,350	24,11,31	179,125,151	198	99	1.94636523887e-06	7.63840224854e-05	0.148,0.148,0.111	0.063,0.042,0.093	0.07
138	"VPS28"	"VPS28"	chr8	-	144424717	144425772	144424717	144424819	144424945	144425772	138	51,40,36	477,243,501	16,6,17	230,120,204	198	99	0.0251015661101	0.144630883362	0.051,0.076,0.035	0.034,0.024,0.04	0.021
139	"VPS28"	"VPS28"	chr8	-	144424717	144425772	144424717	144424819	144425682	144425772	139	72,48,57	0,1,0	23,10,29	0,0,0	198	99	1	1.0	1.0,0.96,1.0	1.0,1.0,1.0	-0.013
140	"VPS28"	"VPS28"	chr8	-	144424945	144425772	144424945	144425000	144425682	144425772	140	306,150,285	33,5,33	141,77,122	22,17,23	198	99	0.00211340119765	0.0220219155419	0.823,0.938,0.812	0.762,0.694,0.726	0.13
141	"VPS28"	"VPS28"	chr8	-	144424945	144425772	144424945	144425051	144425682	144425772	141	84,43,64	305,150,286	25,17,31	148,121,118	198	99	0.0483077275688	0.23592529996	0.121,0.125,0.101	0.078,0.066,0.116	0.029
142	"VPS28"	"VPS28"	chr8	-	144425682	144426208	144425682	144425772	144426025	144426208	142	51,49,83	332,217,348	10,9,10	190,170,202	198	99	2.14517292818e-12	2.91413491628e-10	0.071,0.101,0.107	0.026,0.026,0.024	0.068
143	"VPS28"	"VPS28"	chr8	-	144424945	144426208	144424945	144425772	144426179	144426208	143	25,24,35	12,4,5	7,5,9	1,0,2	198	99	0.0341810079303	0.181818253027	0.51,0.75,0.778	0.778,1.0,0.692	-0.144
144	"VPS28"	"VPS28"	chr8	-	144426025	144426208	144426025	144426063	144426179	144426208	144	31,22,35	379,235,356	11,5,14	201,168,193	198	99	0.00994122011152	0.0734568816609	0.039,0.045,0.047	0.027,0.015,0.035	0.018
145	"VPS28"	"VPS28"	chr8	-	144426025	144426983	144426025	144426063	144426908	144426983	145	31,22,32	0,2,0	13,6,14	0,0,0	198	99	1	1.0	1.0,0.846,1.0	1.0,1.0,1.0	-0.051
146	"CCDC14"	"CCDC14"	chr3	-	123955842	123956115	123955842	123955965	123956045	123956115	146	9,2,9	21,7,13	7,7,4	15,3,13	178	99	0.637352768803	1.0	0.192,0.137,0.278	0.206,0.565,0.146	-0.103
147	"CCDC14"	"CCDC14"	chr3	-	123955842	123956795	123955842	123955965	123956739	123956795	147	10,3,7	0,1,0	10,6,2	2,0,0	198	99	1	1.0	1.0,0.6,1.0	0.714,1.0,1.0	-0.038
148	"CCDC14"	"CCDC14"	chr3	-	123956354	123956795	123956354	123956427	123956739	123956795	148	12,5,3	64,37,59	10,4,6	23,21,24	198	99	0.0266309974825	0.150571900801	0.086,0.063,0.025	0.179,0.087,0.111	-0.068
168	"NMRK1"	"NMRK1"	chr9	-	75068995	75070042	75068995	75069102	75069894	75070042	168	3,1,2	4,1,5	0,0,1	8,2,2	198	99	0.00258371040872	0.0252090197889	0.273,0.333,0.167	0.0,0.0,0.2	0.191
170	"RPL9"	"RPL9"	chr4	-	39456405	39457681	39456405	39456538	39457585	39457681	170	9,3,3	1619,926,1449	2,2,2	1380,1245,1350	198	99	1	1.0	0.003,0.002,0.001	0.001,0.001,0.001	0.001
171	"RPL9"	"RPL9"	chr4	-	39458193	39458440	39458193	39458309	39458393	39458440	171	6,1,2	1340,819,1088	5,6,5	1132,945,1085	182	99	1	1.0	0.002,0.001,0.001	0.002,0.003,0.003	-0.001
172	"MPDU1"	"MPDU1"	chr17	+	7586691	7586961	7586691	7586777	7586898	7586961	172	10,8,18	128,61,139	8,7,11	122,88,92	198	99	0.352778986157	0.91551460625	0.038,0.062,0.061	0.032,0.038,0.056	0.012
174	"MPDU1"	"MPDU1"	chr17	+	7586691	7587271	7586691	7586838	7587160	7587271	174	19,5,8	25,14,26	5,3,7	26,14,22	198	99	0.0442554514912	0.222981818355	0.275,0.152,0.133	0.088,0.097,0.137	0.079
175	"MPDU1"	"MPDU1"	chr17	+	7586898	7587271	7586898	7587017	7587160	7587271	175	21,4,7	77,38,65	2,6,7	76,43,57	198	99	0.0181081225049	0.113982048548	0.12,0.05,0.051	0.013,0.065,0.058	0.028
177	"RPS26"	"RPS26"	chr12	+	56042424	56043493	56042424	56042602	56043362	56043493	177	11,2,10	931,518,1159	8,5,14	990,737,833	198	99	1	1.0	0.006,0.002,0.004	0.004,0.003,0.008	-0.001
179	"ARL8A"	"ARL8A"	chr1	-	202135458	202135800	202135458	202135526	202135706	202135800	179	1,1,1	266,147,288	5,4,3	138,128,135	198	99	0.86527001137	1.0	0.002,0.003,0.002	0.018,0.015,0.011	-0.012
182	"FAHD2A"	"FAHD2A"	chr2	+	95410526	95411026	95410526	95410586	95410863	95411026	182	13,5,4	58,40,68	6,1,7	73,49,59	198	99	0.10845763768	0.413863193026	0.101,0.059,0.029	0.039,0.01,0.056	0.028
183	"RPL14"	"RPL14"	chr3	+	40461406	40461661	40461406	40461506	40461607	40461661	183	3,0,8	1933,1152,1823	5,3,5	2169,1707,2085	198	99	1	1.0	0.001,0.0,0.002	0.001,0.001,0.001	0.0
186	"TMEM91"	"TMEM91"	chr19	+	41382771	41384083	41382771	41382921	41383862	41384083	186	0,0,1	0,0,1	0,0,1	0,2,0	198	99	1	1.0	NA,NA,0.333	NA,0.0,1.0	-0.167
190	"RPL13"	"RPL13"	chr16	+	89560710	89561063	89560710	89560839	89560939	89561063	190	129,88,143	1,2,4	117,104,169	1,0,2	198	99	0.13544791074	0.483234364377	0.985,0.957,0.947	0.983,1.0,0.977	-0.024
191	"RPL13"	"RPL13"	chr16	+	89560939	89561368	89560939	89561063	89561226	89561368	191	31,19,28	2549,1439,2488	29,15,54	2427,1695,2460	198	99	1	1.0	0.006,0.007,0.006	0.006,0.004,0.011	-0.001
192	"RPL13"	"RPL13"	chr16	+	89561226	89561751	89561226	89561368	89561577	89561751	192	56,36,66	1869,922,1708	35,37,41	1484,1051,1415	198	99	0.170848756645	0.568426650132	0.015,0.019,0.019	0.012,0.017,0.014	0.003
194	"HARS"	"HARS"	chr5	-	140677654	140679127	140677654	140677753	140679001	140679127	194	4,3,8	2,0,2	4,0,3	0,0,0	198	99	1	1.0	0.5,1.0,0.667	1.0,NA,1.0	-0.278
195	"LRP1"	"LRP1"	chr12	+	57204626	57205249	57204626	57204749	57205108	57205249	195	0,0,0	8,5,7	2,0,0	5,1,1	198	99	1	1.0	0.0,0.0,0.0	0.167,0.0,0.0	-0.056
197	"BSDC1"	"BSDC1"	chr1	-	32394079	32394425	32394079	32394140	32394403	32394425	197	3,2,2	71,61,68	2,2,1	33,39,46	198	99	0.8322828799	1.0	0.021,0.016,0.014	0.029,0.025,0.011	-0.005
229	"UBE2V1"	"UBE2V1"	chr20	-	50096482	50096820	50096482	50096534	50096671	50096820	229	17,11,10	11,1,6	9,5,10	1,4,3	198	99	0.6645326992	1.0	0.436,0.846,0.455	0.818,0.385,0.625	-0.03
233	"LRRC46"	"LRRC46"	chr17	+	47834424	47835399	47834424	47834533	47835352	47835399	233	0,1,0	0,0,0	0,0,0	0,2,0	198	99	1	1.0	NA,1.0,NA	NA,0.0,NA	1.0
234	"PRIM1"	"PRIM1"	chr12	-	56746780	56747032	56746780	56746854	56746925	56747032	234	1,0,2	40,18,35	1,4,7	47,24,49	169	99	0.00925072005575	0.07011489965	0.014,0.0,0.032	0.012,0.089,0.077	-0.044
236	"DPF1"	"DPF1"	chr19	-	38217459	38217876	38217459	38217591	38217797	38217876	236	0,3,1	19,12,20	0,2,0	8,9,9	198	99	0.628422587123	1.0	0.0,0.111,0.024	0.0,0.1,0.0	0.012
237	"GGA3"	"GGA3"	chr17	-	75239788	75241057	75239788	75240108	75240341	75241057	237	4,1,3	64,40,84	0,1,5	54,33,56	198	99	0.838804933798	1.0	0.03,0.012,0.018	0.0,0.015,0.043	0.001
238	"GGA3"	"GGA3"	chr17	-	75240341	75241057	75240341	75240412	75240811	75241057	238	7,5,5	48,40,38	7,4,2	50,25,41	198	99	0.565737525091	1.0	0.068,0.059,0.062	0.065,0.074,0.024	0.009
239	"GGA3"	"GGA3"	chr17	-	75241399	75241696	75241399	75241516	75241614	75241696	239	17,8,15	84,31,71	8,5,3	48,39,29	196	99	0.0971920800791	0.384845769999	0.093,0.115,0.096	0.078,0.061,0.05	0.038
240	"GGA3"	"GGA3"	chr17	-	75241614	75242473	75241614	75241696	75242335	75242473	240	17,6,9	125,84,123	8,7,14	78,51,60	198	99	0.126394824075	0.460078138362	0.064,0.034,0.035	0.049,0.064,0.104	-0.028
252	"ACAD9"	"ACAD9"	chr3	+	128909343	128910149	128909343	128909421	128910020	128910149	252	10,3,8	48,20,46	5,2,3	28,11,33	198	99	0.326258294724	0.873515941042	0.094,0.07,0.08	0.082,0.083,0.043	0.012
